ada,title,amount,locations,why,from_whom,into_what,afm
61Σ346ΜΔΨΟ-5ΦΦ,"Αυτοδίκαιη λήξη υπηρεσίας των συνεργατών του Ιδιαίτερου Γραφείου του τέως Υπουργού
Μετανάστευσης και Ασύλου, κου Βορίδη Μαυρουδή του Χρήστου.",Δεν αναφέρεται,"Ιδιαίτερο Γραφείο του τ. Υπουργού Μετανάστευσης και Ασύλου, Γραφείο Επικοινωνίας και Ενημέρωσης του Υπουργείου Μετανάστευσης και Ασύλου",Λήξη υπηρεσίας συνεργατών λόγω αποδοχής παραίτησης του τ. Υπουργού Μετανάστευσης και Ασύλου,Υπουργός Μετανάστευσης και Ασύλου,"Λήξη υπηρεσίας μετακλητών συνεργατών, αποσπασμένων υπαλλήλων και δημοσιογράφων",Δεν αναφέρεται
68ΕΧ46ΜΔΨΟ-Α0Σ,Πρόσληψη μετακλητού συνεργάτη σε θέση Διευθυντή στο Ιδιαίτερο Γραφείο του Υπουργού Μετανάστευσης και Ασύλου.,,Ιδιαίτερο Γραφείο του Υπουργού Μετανάστευσης και Ασύλου,Διορισμός μετακλητού συνεργάτη ως Διευθυντή,Υπουργός Μετανάστευσης και Ασύλου,Διορισμός μετακλητού συνεργάτη ως Διευθυντή στο Ιδιαίτερο Γραφείο του Υπουργού Μετανάστευσης και Ασύλου,
6ΞΤΓ46ΜΔΨΟ-Τ77,"Διορισμός του ΙΓΓΛΕΣΗ Χριστόφορου του Γρηγορίου στη θέση του Διοικητή, επί θητεία, διάρκειας ενός (1) έτους, στην ΕΔΠΦΑΑ Θήβας της ΥΠ.Υ.Τ. της Γενικής Γραμματείας Υποδοχής Αιτούντων Άσυλο του Υπουργείου Μετανάστευσης και Ασύλου.","Δεν αναφέρεται συγκεκριμένο χρηματικό ποσό, αλλά αφορά την κάλυψη της δαπάνης για την πρόσληψη δεκαεννέα (19) Διοικητών.","Σχιστού Αττικής, Ριτσώνας, Θήβας, Πύργου, Κυλλήνης, Κουτσοχέρου, Αλεξάνδρειας, Βαγιοχωρίου, Λαγκαδικίων, Σερρών, Φιλιππιάδας, Δράμας, Καβάλας, Σιντικής, Αττικού Άλσους. Η απόφαση αφορά συγκεκριμένα τη δομή της Θήβας.",Για την πρόσληψη δεκαεννέα (19) Διοικητών επί θητεία στις Ελεγχόμενες Δομές Προσωρινής Φιλοξενίας Αιτούντων Άσυλο.,"Ο Γενικός Γραμματέας Υποδοχής Αιτούντων Άσυλο (Δημήτριος Γλυμής) του Υπουργείου Μετανάστευσης και Ασύλου, με έγκριση από την Επιτροπή της Πράξης Υπουργικού Συμβουλίου 33/2006 και κάλυψη δαπάνης από το Γενικό Λογιστήριο του Κράτους.","Στην κάλυψη των δαπανών για την πρόσληψη δεκαεννέα (19) Διοικητών στις Ελεγχόμενες Δομές Προσωρινής Φιλοξενίας Αιτούντων Άσυλο (ΕΔΠΦΑΑ). Συγκεκριμένα, η απόφαση αφορά τον διορισμό του Ιγγλέση Χριστόφορου ως Διοικητή στην ΕΔΠΦΑΑ «ΘΗΒΑΣ».",Δεν αναφέρεται.
637Π46ΜΔΨΟ-ΙΩΙ,"Τροποποίηση της υπ’ αριθ. 210275/09.04.2023 Πράξης αντιστοίχισης των υφισταμένων
κλάδων και ειδικοτήτων του Οργανισμού του Υπουργείου Μετανάστευσης και Ασύλου με τους
οριζόμενους στο π.δ. 85/2022 (Α’ 232) νέους κλάδους και ειδικότητες.","Δεν αναφέρονται χρηματικά ποσά, καθώς η απόφαση δεν προκαλεί δαπάνη στον προϋπολογισμό του Υπουργείου Μετανάστευσης και Ασύλου.",Υπουργείο Μετανάστευσης και Ασύλου,"Τροποποίηση της Πράξης αντιστοίχισης των υφισταμένων κλάδων και ειδικοτήτων του Οργανισμού του Υπουργείου Μετανάστευσης και Ασύλου με τους οριζόμενους στο π.δ. 85/2022, λόγω κάλυψης θέσεων που είχαν δεσμευτεί στο πλαίσιο της προκήρυξης 2Κ-2022.","Υπουργείο Μετανάστευσης και Ασύλου, μέσω της Προϊσταμένης της Γενικής Διεύθυνσης Διοικητικών και Οικονομικών Υπηρεσιών",Ανακατανομή θέσεων προσωπικού στους κλάδους ΔΕ Τεχνικών Διαφόρων Ειδικοτήτων (Δομικών Έργων) και ΔΕ Τεχνικών Διαφόρων Ειδικοτήτων (Μηχανολογίας) εντός του Οργανισμού του Υπουργείου Μετανάστευσης και Ασύλου.,Δεν αναφέρεται.
ΡΕΥ046ΜΔΨΟ-ΙΒΒ,"Διορισμός της ΜΠΑΤΣΑΡΑ Γεωργίας του Νικολάου στη θέση της Διοικήτριας, επί θητεία, διάρκειας ενός (1) έτους, στην ΕΔΠΦΑΑ Αλεξάνδρειας της ΥΠ.Υ.Τ. της Γενικής Γραμματείας Υποδοχής Αιτούντων Άσυλο του Υπουργείου Μετανάστευσης και Ασύλου.",Δεν αναφέρεται συγκεκριμένο χρηματικό ποσό. Αναφέρεται η κάλυψη της σχετικής δαπάνης για την πρόσληψη 19 Διοικητών.,"Οι δράσεις αφορούν Ελεγχόμενες Δομές Προσωρινής Φιλοξενίας Αιτούντων Άσυλο στις περιοχές: ΣΧΙΣΤΟΥ ΑΤΤΙΚΗΣ, ΡΙΤΣΩΝΑΣ, ΘΗΒΑΣ, ΠΥΡΓΟΥ, ΚΥΛΛΗΝΗΣ, ΚΟΥΤΣΟΧΕΡΟΥ, ΑΛΕΞΑΝΔΡΕΙΑΣ, ΒΑΓΙΟΧΩΡΙΟΥ, ΛΑΓΚΑΔΙΚΙΩΝ, ΣΕΡΡΩΝ, ΦΙΛΙΠΠΙΑΔΑΣ, ΔΡΑΜΑΣ, ΚΑΒΑΛΑΣ, ΣΙΝΤΙΚΗΣ και ΑΤΤΙΚΟΥ ΑΛΣΟΥΣ. Ο συγκεκριμένος διορισμός αφορά την ΕΔΠΦΑΑ «ΑΛΕΞΑΝΔΡΕΙΑΣ».",Ο σκοπός είναι η έγκριση και ο διορισμός Διοικητών σε Ελεγχόμενες Δομές Προσωρινής Φιλοξενίας Αιτούντων Άσυλο.,Ο Γενικός Γραμματέας Υποδοχής Αιτούντων Άσυλο (Δημήτριος Γλυμής) του Υπουργείου Μετανάστευσης και Ασύλου.,"Στον διορισμό της Μπατσαρά Γεωργίας ως Διοικήτριας στην Ελεγχόμενη Δομή Προσωρινής Φιλοξενίας Αιτούντων Άσυλο (ΕΔΠΦΑΑ) «ΑΛΕΞΑΝΔΡΕΙΑΣ». Γενικότερα, αφορά την πρόσληψη δεκαεννέα (19) Διοικητών σε ΕΔΠΦΑΑ.",Δεν αναφέρεται.
ΡΗ9Χ46ΜΔΨΟ-ΑΜΣ,"Τροποποίηση της Πράξης «Επιχορήγηση ΝΠ ΕΚΠΟΣΠΟ ΝΟΣΤΟΣ για την υλοποίηση του Έργου ""Λειτουργία μιας
Μονάδας πέντε Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης Ασυνόδευτων Ανηλίκων στην Αθήνα - TEEN
SPIRIT APARTMENTS 2""» με Κωδικό ΟΠΣ 6011314 στο Πρόγραμμα «Πρόγραμμα Ελλάδας - Ταμείο Ασύλου,
Μετανάστευσης και Ένταξης 2021-2027»","597.034,50€",Αθήνα,"Λειτουργία Μονάδας πέντε Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης για ασυνόδευτους ανηλίκους 16 ετών και άνω, με σκοπό την προστασία, φροντίδα, ψυχοκοινωνική υποστήριξη, νομική πληροφόρηση, προσωπική ανάπτυξη και προετοιμασία για ανεξάρτητη ζωή και κοινωνική ένταξη.","Υπουργείο Μετανάστευσης και Ασύλου (μέσω της Ειδικής Υπηρεσίας Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων) και το Ταμείο Ασύλου, Μετανάστευσης και Ένταξης.","ΕΤΑΙΡΙΑ ΚΟΙΝΩΝΙΚΗΣ ΚΑΙ ΠΟΛΙΤΙΣΤΙΚΗΣ ΣΤΗΡΙΞΗΣ ΠΑΛΙΝΝΟΣΤΟΥΝΤΩΝ ΟΜΟΓΕΝΩΝ (ΕΚΠΟΣΠΟ) ΝΟΣΤΟΣ για την υλοποίηση του Έργου ""Λειτουργία μιας Μονάδας πέντε Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης Ασυνόδευτων Ανηλίκων στην Αθήνα - TEEN SPIRIT APARTMENTS 2"".",
ΨΨΔ446ΜΔΨΟ-Χ5Σ,"Διορισμός του ΞΕΝΑΚΗ Ιωάννη του Κωνσταντίνου στη θέση του Διοικητή, επί θητεία, διάρκειας ενός (1) έτους, στην ΚΕΔ Χίου της ΥΠ.Υ.Τ. της Γενικής Γραμματείας Υποδοχής Αιτούντων Άσυλο του Υπουργείου Μετανάστευσης και Ασύλου.",Δεν αναφέρεται συγκεκριμένο χρηματικό ποσό,Κλειστή Ελεγχόμενη Δομή Χίου,Στελέχωση της Κλειστής Ελεγχόμενης Δομής Χίου με διορισμό Διοικητή,Γενική Γραμματεία Υποδοχής Αιτούντων Άσυλο του Υπουργείου Μετανάστευσης και Ασύλου,Διορισμός Διοικητή στην Κλειστή Ελεγχόμενη Δομή (ΚΕΔ) Χίου,Δεν αναφέρεται
6ΚΧ946ΜΔΨΟ-ΝΦΣ,"1η Τροποποίηση της Πράξης «Επιχορήγηση Ν.Π. ΑΡΣΙΣ Κοινωνική Οργάνωση Υποστήριξης Νέων για την υλοποίηση
του Έργου ""Λειτουργία μίας Μονάδας πέντε (5) Εποπτευόμενων Διαμερισμάτων στην Θεσσαλονίκη για Ασυνόδευτους
Ανήλικους 16 ετών και άνω""» με Κωδικό ΟΠΣ 6011336 στο Πρόγραμμα «Πρόγραμμα Ελλάδας - Ταμείο Ασύλου,
Μετανάστευσης και Ένταξης 2021-2027»","623.270,50 ευρώ",Θεσσαλονίκη,Λειτουργία μίας Μονάδας πέντε (5) Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης (Ε.Δ.Η.Δ.) για Ασυνόδευτους Ανήλικους 16 ετών και άνω,"Υπουργείο Μετανάστευσης και Ασύλου, μέσω της Ειδικής Υπηρεσίας Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων (Ε.Υ.ΣΥ.Δ.-Μ.Ε.Υ.) και του Ταμείου Ασύλου, Μετανάστευσης και Ένταξης","ΑΡΣΙΣ ΚΟΙΝΩΝΙΚΗ ΟΡΓΑΝΩΣΗ ΥΠΟΣΤΗΡΙΞΗΣ ΝΕΩΝ για την υλοποίηση του Έργου ""Λειτουργία μίας Μονάδας πέντε (5) Εποπτευόμενων Διαμερισμάτων στην Θεσσαλονίκη για Ασυνόδευτους Ανήλικους 16 ετών και άνω""",
ΡΣΝΧ46ΜΔΨΟ-Τ6Ρ,"Διορισμός του ΡΕΜΜΟΥ Δημήτριου του Χρήστου στη θέση του Διοικητή, επί θητεία, διάρκειας ενός (1) έτους, στην ΕΔΠΦΑΑ Καβάλας της ΥΠ.Υ.Τ. της Γενικής Γραμματείας Υποδοχής Αιτούντων Άσυλο του Υπουργείου Μετανάστευσης και Ασύλου.",Δεν αναφέρεται συγκεκριμένο χρηματικό ποσό.,"Ελεγχόμενες Δομές Προσωρινής Φιλοξενίας Αιτούντων Άσυλο (ΕΔΠΦΑΑ) στις περιοχές: ΣΧΙΣΤΟΥ ΑΤΤΙΚΗΣ, ΡΙΤΣΩΝΑΣ, ΘΗΒΑΣ, ΠΥΡΓΟΥ, ΚΥΛΛΗΝΗΣ, ΚΟΥΤΣΟΧΕΡΟΥ, ΑΛΕΞΑΝΔΡΕΙΑΣ, ΒΑΓΙΟΧΩΡΙΟΥ, ΛΑΓΚΑΔΙΚΙΩΝ, ΣΕΡΡΩΝ, ΦΙΛΙΠΠΙΑΔΑΣ, ΔΡΑΜΑΣ, ΚΑΒΑΛΑΣ, ΣΙΝΤΙΚΗΣ και ΑΤΤΙΚΟΥ ΑΛΣΟΥΣ. Η συγκεκριμένη απόφαση αφορά τη δομή της ΚΑΒΑΛΑΣ.",Ο διορισμός Διοικητή επί θητεία στην Ελεγχόμενη Δομή Προσωρινής Φιλοξενίας Αιτούντων Άσυλο (ΕΔΠΦΑΑ) «ΚΑΒΑΛΑΣ».,"Ο Γενικός Γραμματέας Υποδοχής Αιτούντων Άσυλο, Δημήτριος Γλυμής, του Υπουργείου Μετανάστευσης και Ασύλου.",Στη θέση του Διοικητή της Ελεγχόμενης Δομής Προσωρινής Φιλοξενίας Αιτούντων Άσυλο (ΕΔΠΦΑΑ) «ΚΑΒΑΛΑΣ».,Δεν αναφέρεται.
ΨΜΙΒ46ΜΔΨΟ-ΖΘΦ,"1η Τροποποίηση της Πράξης «Επιχορήγηση Ν.Π. ΕΚΠΕΘΕ - Ευρωπαϊκή Έκφραση για την υλοποίηση του Έργου
""Λειτουργία μίας Μονάδας Πέντε (5) Εποπτευόμενων Διαμερισμάτων για Ασυνόδευτους Ανηλίκων 16 ετών και άνω “ΚΦ16+""
ΜΟΝΑΔΑ Β» με Κωδικό ΟΠΣ 6011326 στο Πρόγραμμα «Πρόγραμμα Ελλάδας - Ταμείο Ασύλου, Μετανάστευσης και Ένταξης
2021-2027»","611.507,25€",στην ευρύτερη περιοχή των Αθηνών,"Υποστήριξη ασυνόδευτων ανηλίκων 16 ετών και άνω μέσω εξατομικευμένης φροντίδας και προστασίας σε εποπτευόμενα διαμερίσματα, με στόχο τη σταδιακή αυτονόμηση, την ομαλή μετάβαση στην ενηλικίωση, την κοινωνική ένταξη και την ένταξη στην αγορά εργασίας.","Υπουργείο Μετανάστευσης και Ασύλου (μέσω της Ειδικής Υπηρεσίας Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων - Ε.Υ.ΣΥ.Δ.-Μ.Ε.Υ.) και το Ταμείο Ασύλου, Μετανάστευσης και Ένταξης (AMIF).","ΕΥΡΩΠΑΪΚΗ ΚΟΙΝΩΝΙΑ ΠΟΛΙΤΙΚΗ ΕΚΦΡΑΣΗ ΘΕΣΜΟΙ-Ε.Κ.Π.Ε.Θ.Ε. για το έργο ""Λειτουργία μίας Μονάδας Πέντε (5) Εποπτευόμενων Διαμερισμάτων για Ασυνόδευτους Ανηλίκων 16 ετών και άνω “ΚΦ16+"" ΜΟΝΑΔΑ Β"".",Δεν αναφέρεται
Ρ7ΗΣ46ΜΔΨΟ-Α2Θ,"1η Τροποποίηση της Πράξης «Επιχορήγηση ΝΠ ΕΚΠΟΣΠΟ ΝΟΣΤΟΣ για την υλοποίηση του Έργου ""Λειτουργία μιας
Μονάδας πέντε Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης Ασυνόδευτων Ανηλίκων στην Αθήνα - TEEN 
SPIRIT APARTMENTS 3""» με Κωδικό ΟΠΣ 6011315 στο Πρόγραμμα «Πρόγραμμα Ελλάδας - Ταμείο Ασύλου,
Μετανάστευσης και Ένταξης 2021-2027»","604.941,48€",Αθήνα,"Για τη λειτουργία μιας Μονάδας πέντε Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης Ασυνόδευτων Ανηλίκων (16-18 ετών), δυναμικότητας 20 θέσεων, προσφέροντας υπηρεσίες κάλυψης βασικών αναγκών, εκπαίδευσης, ψυχοκοινωνικής υποστήριξης, νομικής πληροφόρησης και προετοιμασίας για την ανεξάρτητη ζωή και κοινωνική ένταξη.","Υπουργείο Μετανάστευσης και Ασύλου, Γενική Γραμματεία Μεταναστευτικής Πολιτικής, Ειδική Υπηρεσία Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων (Ε.Υ.ΣΥ.Δ.-Μ.Ε.Υ.), συγχρηματοδοτούμενο από το Ταμείο Ασύλου, Μετανάστευσης και Ένταξης (ΤΑΜΕ) στο πλαίσιο του Προγράμματος Ελλάδας 2021-2027.","ΕΤΑΙΡΙΑ ΚΟΙΝΩΝΙΚΗΣ ΚΑΙ ΠΟΛΙΤΙΣΤΙΚΗΣ ΣΤΗΡΙΞΗΣ ΠΑΛΙΝΝΟΣΤΟΥΝΤΩΝ ΟΜΟΓΕΝΩΝ (ΕΚΠΟΣΠΟ) ΝΟΣΤΟΣ, για το Έργο ""Λειτουργία μιας Μονάδας πέντε Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης Ασυνόδευτων Ανηλίκων στην Αθήνα - TEEN SPIRIT APARTMENTS 3"".",Δεν αναφέρεται στο κείμενο.
95Τ646ΜΔΨΟ-Λ0Ι,"Διορισμός του ΛΕΛΟΥ Γεώργιου του Ζαχαρία στη θέση του Διοικητή, επί θητεία, διάρκειας ενός (1) έτους, στην ΕΔΠΦΑΑ Ριτσώνας της ΥΠ.Υ.Τ. της Γενικής Γραμματείας Υποδοχής Αιτούντων Άσυλο του Υπουργείου Μετανάστευσης και Ασύλου.","Δεν αναφέρεται χρηματικό ποσό, αλλά εγκρίθηκε η κίνηση διαδικασιών πρόσληψης δεκαεννέα (19) Διοικητών.","ΣΧΙΣΤΟΥ ΑΤΤΙΚΗΣ, ΡΙΤΣΩΝΑΣ, ΘΗΒΑΣ, ΠΥΡΓΟΥ, ΚΥΛΛΗΝΗΣ, ΚΟΥΤΣΟΧΕΡΟΥ, ΑΛΕΞΑΝΔΡΕΙΑΣ, ΒΑΓΙΟΧΩΡΙΟΥ, ΛΑΓΚΑΔΙΚΙΩΝ, ΣΕΡΡΩΝ, ΦΙΛΙΠΠΙΑΔΑΣ, ΔΡΑΜΑΣ, ΚΑΒΑΛΑΣ, ΣΙΝΤΙΚΗΣ, ΑΤΤΙΚΟΥ ΑΛΣΟΥΣ. Η συγκεκριμένη απόφαση αφορά τη Ριτσώνα.","Για την κάλυψη θέσεων Διοικητών σε Ελεγχόμενες Δομές Προσωρινής Φιλοξενίας Αιτούντων Άσυλο, με σκοπό τη στελέχωση και λειτουργία αυτών των δομών.",Ο Γενικός Γραμματέας Υποδοχής Αιτούντων Άσυλο (Δημήτριος Γλυμής) του Υπουργείου Μετανάστευσης και Ασύλου.,Στον διορισμό του Λέλου Γεώργιου ως Διοικητή στην Ελεγχόμενη Δομή Προσωρινής Φιλοξενίας Αιτούντων Άσυλο (ΕΔΠΦΑΑ) «ΡΙΤΣΩΝΑΣ».,
ΨΝΨΔ46ΜΔΨΟ-70Γ,"1η Τροποποίηση της Πράξης «Επιχορήγηση ΝΠ ΕΚΠΟΣΠΟ ΝΟΣΤΟΣ για την υλοποίηση του Έργου ""Λειτουργία
Μονάδας Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης Ασυνόδευτων Ανηλίκων TEEN SPIRIT APARTMENTS 
1""» με Κωδικό ΟΠΣ 6011313 στο Πρόγραμμα «Πρόγραμμα Ελλάδας - Ταμείο Ασύλου, Μετανάστευσης και Ένταξης
2021-2027»","602.054,50€",Αθήνα,"Για τη λειτουργία Μονάδας Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης για ασυνόδευτους ανηλίκους 16 ετών και άνω (TEEN SPIRIT APARTMENTS 1), με σκοπό την κάλυψη βασικών αναγκών, εκπαίδευση, ψυχοκοινωνική υποστήριξη, νομική πληροφόρηση, ασφάλεια, προστασία, προσωπική ανάπτυξη και προετοιμασία για την ενήλικη ζωή και την κοινωνική ένταξη.","Υπουργείο Μετανάστευσης και Ασύλου, μέσω της Ειδικής Υπηρεσίας Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων (Ε.Υ.ΣΥ.Δ.-Μ.Ε.Υ.) και του Προγράμματος Ελλάδας - Ταμείο Ασύλου, Μετανάστευσης και Ένταξης 2021-2027.","ΕΤΑΙΡΙΑ ΚΟΙΝΩΝΙΚΗΣ ΚΑΙ ΠΟΛΙΤΙΣΤΙΚΗΣ ΣΤΗΡΙΞΗΣ ΠΑΛΙΝΝΟΣΤΟΥΝΤΩΝ ΟΜΟΓΕΝΩΝ (ΕΚΠΟΣΠΟ) ΝΟΣΤΟΣ, για την υλοποίηση του Έργου 'Λειτουργία Μονάδας Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης Ασυνόδευτων Ανηλίκων TEEN SPIRIT APARTMENTS 1'.",
9ΖΠ046ΜΔΨΟ-ΩΞΜ,"Διορισμός του ΤΟΥΤΟΥΝΤΖΟΓΛΟΥ Δημήτριου του Χρυσοστόμου στη θέση του Διοικητή, επί θητεία, διάρκειας ενός (1) έτους, στην ΕΔΠΦΑΑ Δράμας της ΥΠ.Υ.Τ. της Γενικής Γραμματείας Υποδοχής Αιτούντων Άσυλο του Υπουργείου Μετανάστευσης και Ασύλου.",Δεν αναφέρεται συγκεκριμένο χρηματικό ποσό.,"ΣΧΙΣΤΟΥ ΑΤΤΙΚΗΣ, ΡΙΤΣΩΝΑΣ, ΘΗΒΑΣ, ΠΥΡΓΟΥ, ΚΥΛΛΗΝΗΣ, ΚΟΥΤΣΟΧΕΡΟΥ, ΑΛΕΞΑΝΔΡΕΙΑΣ, ΒΑΓΙΟΧΩΡΙΟΥ, ΛΑΓΚΑΔΙΚΙΩΝ, ΣΕΡΡΩΝ, ΦΙΛΙΠΠΙΑΔΑΣ, ΔΡΑΜΑΣ, ΚΑΒΑΛΑΣ, ΣΙΝΤΙΚΗΣ, ΑΤΤΙΚΟΥ ΑΛΣΟΥΣ. Η συγκεκριμένη απόφαση αφορά τον διορισμό Διοικητή στην Ελεγχόμενη Δομή Προσωρινής Φιλοξενίας Αιτούντων Άσυλο (ΕΔΠΦΑΑ) «ΔΡΑΜΑΣ».",Ο διορισμός Διοικητή επί θητεία στην Ελεγχόμενη Δομή Προσωρινής Φιλοξενίας Αιτούντων Άσυλο (ΕΔΠΦΑΑ) «ΔΡΑΜΑΣ».,Ο Γενικός Γραμματέας Υποδοχής Αιτούντων Άσυλο (Δημήτριος Γλυμής) του Υπουργείου Μετανάστευσης και Ασύλου.,Στον διορισμό Διοικητή για την Ελεγχόμενη Δομή Προσωρινής Φιλοξενίας Αιτούντων Άσυλο (ΕΔΠΦΑΑ) «ΔΡΑΜΑΣ».,Δεν αναφέρεται.
60ΨΠ46ΜΔΨΟ-ΓΞΨ,"1η Τροποποίηση της Πράξης «Επιχορήγηση Ν.Π. ΗΛΙΑΚΤΙΔΑ Α.Μ.Κ.Ε. για την υλοποίηση του Έργου με τίτλο
""Λειτουργία μιας Μονάδας Πέντε (5) Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης για Ασυνόδευτους Ανήλικους
16 ετών και άνω στην Λέσβο - 2024""» με Κωδικό ΟΠΣ 6011303 στο Πρόγραμμα «Πρόγραμμα Ελλάδας - Ταμείο Ασύλου,
Μετανάστευσης και Ένταξης 2021-2027»","588.330,00 €","Λέσβος, εντός της πόλης της Λέσβου","Λειτουργία μιας Μονάδας πέντε (5) Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης (Ε.Δ.Η.Δ.) Ασυνόδευτων Ανηλίκων, δυναμικότητας 20 θέσεων, για την προετοιμασία και την παροχή των κατάλληλων εφοδίων για την πλήρη κοινωνική και επαγγελματική αποκατάσταση των ωφελούμενων και την επιτυχή ένταξή τους στην Ελληνική κοινωνία.","Υπουργείο Μετανάστευσης και Ασύλου, μέσω της Ειδικής Υπηρεσίας Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων (Ε.Υ.ΣΥ.Δ.-Μ.Ε.Υ.) και του Προγράμματος Ελλάδας - Ταμείο Ασύλου, Μετανάστευσης και Ένταξης 2021-2027.",ΗΛΙΑΚΤΙΔΑ ΑΣΤΙΚΗ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΗ ΕΤΑΙΡΕΙΑ ΛΕΣΒΟΥ για το έργο 'Λειτουργία μιας Μονάδας Πέντε (5) Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης για Ασυνόδευτους Ανήλικους 16 ετών και άνω στην Λέσβο - 2024'.,
ΨΚ2146ΜΔΨΟ-ΥΞ7,"1η Τροποποίηση της Πράξης ««Επιχορήγηση Ν.Π. ΜΕΤΑΔΡΑΣΗ ΔΡΑΣΗ ΓΙΑ ΤΗ ΜΕΤΑΝΑΣΤΕΥΣΗ ΚΑΙ ΤΗΝ
ΑΝΑΠΤΥΞΗ για την υλοποίηση του Έργου με τίτλο ""Λειτουργία Μονάδας Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης
Διαβίωσης (ΕΔΗΔ) της ΜΕΤΑδρασης""» με Κωδικό ΟΠΣ 6011280 στο Πρόγραμμα «Πρόγραμμα Ελλάδας - Ταμείο Ασύλου,
Μετανάστευσης και Ένταξης 2021-2027»","600.962,00 €",Αθήνα,"Η υποστήριξη ασυνόδευτων ανηλίκων 16 ετών και άνω σε κατάλληλο πλαίσιο εξατομικευμένης φροντίδας και προστασίας, με στόχο την αυτονόμησή τους και την ομαλή μετάβασή τους στην ενηλικίωση, μέσω της λειτουργίας Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης (ΕΔΗΔ).","Υπουργείο Μετανάστευσης και Ασύλου (μέσω της Ειδικής Υπηρεσίας Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων - Ε.Υ.ΣΥ.Δ.-Μ.Ε.Υ.) και το Ταμείο Ασύλου, Μετανάστευσης και Ένταξης (ΤΑΜΕ/AMIF).","Στην ΜΕΤΑΔΡΑΣΗ - ΔΡΑΣΗ ΓΙΑ ΤΗ ΜΕΤΑΝΑΣΤΕΥΣΗ ΚΑΙ ΤΗΝ ΑΝΑΠΤΥΞΗ, για την υλοποίηση του Έργου ""Λειτουργία Μονάδας Εποπτευόμενων Διαμερισμάτων Ημιαυτόνομης Διαβίωσης (ΕΔΗΔ) της ΜΕΤΑδρασης"".",Δεν αναφέρεται στο κείμενο.
